text,label
SINTO QUE E MELHOR MORRER ESTOU FELIZ,DEPRESSAO
POR QUE TENHO ALUCINACOES?,DROGAS
ESTOU ESTRESSADO DEVIDO A FALTA DE APOIO FINANCEIRO NA ESCOLA,DEPRESSAO
POR QUE A VIDA E IMPORTANTE?,SUICÍDIO
COMO EU PODERIA SER AJUDADO A PASSAR PELA DEPRESSAO?,DEPRESSAO
QUAIS SAO OS EFEITOS DA DEPRESSAO PARA A SAUDE,DEPRESSAO
POR QUE TUDO E TAO DIFICIL DE LIDAR NESTA VIDA,DEPRESSAO
ME SINTO EMOCIONALMENTE OPRIMIDO, DEPRESSAO
COMO ADMINISTRAR O CONSUMO DE ALCOOL?,ALCOOL
O CEU ESTA ABERTO PARA NOS QUE FUMAMOS BHANG?,DROGAS
COMO SOBREVIVER SEM DINHEIRO?,DEPRESSAO
COMO FAÇO PARA PARAR ISSO? O QUE EU FAÇO QUANDO A VIDA SE TORNA INSUPORTAVEL?,ALCOOL
