text,label
SINTO QUE É MELHOR MORRER ESTOU FELIZ,DEPRESSÃO
POR QUE TENHO ALUCINAÇÕES?,DROGAS
ESTOU ESTRESSADO DEVIDO À FALTA DE APOIO FINANCEIRO NA ESCOLA,DEPRESSÃO
POR QUE A VIDA É IMPORTANTE?,SUICÍDIO
COMO EU PODERIA SER AJUDADO A PASSAR PELA DEPRESSÃO?,DEPRESSÃO
QUAIS SÃO OS EFEITOS DA DEPRESSÃO PARA A SAÚDE,DEPRESSÃO
POR QUE TUDO É TÃO DIFÍCIL DE LIDAR NESTA VIDA,DEPRESSÃO
SINTO-ME EMOCIONALMENTE OPRIMIDO, DEPRESSÃO
COMO ADMINISTRAR O CONSUMO DE ÁLCOOL?,ÁLCOOL
O CÉU ESTÁ ABERTO PARA NÓS QUE FUMAMOS BHANG?,DROGAS
COMO SOBREVIVER SEM DINHEIRO?,DEPRESSÃO
COMO FAÇO PARA PARAR ISSO? O QUE EU FAÇO QUANDO A VIDA SE TORNA INSUPORTÁVEL?,ÁLCOOL
"EU SEMPRE ESTIVE TRISTE, SOZINHO E SEMPRE DROGADO AGORA SEI COMO LIDAR COM OS ASPECTOS NEGATIVOS DA MINHA VIDA",DEPRESSÃO
"EU ME SINTO VAZIO, DISTRAÍDO",DEPRESSÃO
EXPERIMENTEI DEPRESSÃO EM MEUS ESTUDOS,DEPRESSÃO
SINTO QUE ESTOU SOZINHO NESTE MUNDO,DEPRESSÃO
SINTO-ME PARA BAIXO E DESLOCADO,DEPRESSÃO
O QUE DEVO FAZER PARA SAIR DA DEPRESSÃO?,DEPRESSÃO
COMO POSSO PARAR DE USAR ÁLCOOL?,ÁLCOOL
"SINTO-ME SEM ESPERANÇA, INDIGNO E INÚTIL ... COMO FAÇO PARA ENFRENTAR O ESTRESSE E FUGIR DO PASSADO?",DEPRESSÃO
A MEDIAÇÃO AJUDA A PARAR O VÍCIO EM ERVAS DANINHAS?,DROGAS
"SINTO-ME MAL POR CAUSA DAS DIFICULDADES DA VIDA, TAMBÉM ME SINTO MAL POR NÃO TER NINGUÉM PARA CONTROLAR",DEPRESSÃO
QUAIS SÃO OS EFEITOS DE FUMAR BHANG?DROGAS
"TRISTEZA, ÓDIO, AGORA O SENTIMENTO É FELICIDADE",DEPRESSÃO
"OS SENTIMENTOS ERAM COMO SE TUDO ESTIVESSE DESMORONANDO, AGORA AS COISAS ESTÃO NO CONTROLE",DEPRESSÃO
COMO FAÇO PARA LIDAR COM UMA SITUAÇÃO DIFÍCIL? O QUE FAREI PARA EVITÁ-LA?,DEPRESSÃO
DETERIORAÇÃO DO DESEMPENHO ACADÊMICO,DEPRESSÃO
